index,prenom,sex
837,Adrienne,Female
838,Albertine,Female
839,Alys,Female
840,Ana,Female
841,Araminta,Female
842,Arthur,Female
843,Birtha,Female
844,Bulah,Female
845,Caddie,Female
846,Celie,Female
847,Charlotta,Female
848,Clair,Female
849,Concepcion,Female
850,Cordella,Female
851,Corrine,Female
852,Delila,Female
853,Delphine,Female
854,Dosha,Female
855,Edgar,Female
856,Elaine,Female
857,Elisa,Female
858,Ellar,Female
859,Elmire,Female
860,Elvina,Female
861,Ena,Female
862,Estie,Female
863,Etter,Female
864,Fronnie,Female
865,Genie,Female
866,Georgina,Female
867,Glenn,Female
868,Gracia,Female
869,Guadalupe,Female
870,Gwendolyn,Female
871,Hassie,Female
872,Honora,Female
873,Icy,Female
874,Isa,Female
875,Isadora,Female
876,Jesse,Female
877,Jewel,Female
878,Joe,Female
879,Johannah,Female
880,Juana,Female
881,Judith,Female
882,Judy,Female
883,Junie,Female
884,Lavonia,Female
885,Lella,Female
886,Lemma,Female
887,Letty,Female
888,Linna,Female
889,Littie,Female
890,Lollie,Female
891,Lorene,Female
892,Louis,Female
893,Love,Female
894,Lovisa,Female
895,Lucina,Female
896,Lynn,Female
897,Madora,Female
898,Mahalia,Female
899,Manervia,Female
900,Manuela,Female
901,Margarett,Female
902,Margaretta,Female
903,Margarita,Female
904,Marilla,Female
905,Mignon,Female
906,Mozella,Female
907,Natalie,Female
908,Nelia,Female
909,Nolie,Female
910,Omie,Female
911,Opal,Female
912,Ossie,Female
913,Ottie,Female
914,Ottilia,Female
915,Parthenia,Female
916,Penelope,Female
917,Pinkey,Female
918,Pollie,Female
919,Rennie,Female
920,Reta,Female
921,Roena,Female
922,Rosalee,Female
923,Roseanna,Female
924,Ruthie,Female
925,Sabra,Female
926,Sannie,Female
927,Selena,Female
928,Sibyl,Female
929,Tella,Female
930,Tempie,Female
931,Tennessee,Female
932,Teressa,Female
933,Texas,Female
934,Theda,Female
935,Thelma,Female
936,Thursa,Female
937,Ula,Female
938,Vannie,Female
939,Verona,Female
940,Vertie,Female
941,Wilma,Female
952,Edward,Male
957,Albert,Male
958,Samuel,Male
